route_id,trip_id,stop_id,scheduled_arrival,actual_arrival,delay_minutes,calculated_delay,punctuality_status
Route_A,bdd640fb-0667-4ad1-9c80-317fa3b1799d,14,2025-11-04 10:29:32,2025-11-04 10:29:32,0,0.0,Early
Route_A,bc8960a9-23b8-41e9-b924-56de3eb13b90,15,2025-10-27 01:28:31,2025-10-27 01:33:31,5,5.0,On Time
Route_A,8b9d2434-e465-4150-bd9c-66b3ad3c2d6d,13,2025-10-26 07:21:03,2025-10-26 07:48:03,27,27.0,Very Late
Route_C,07a0ca6e-0822-48f3-ac03-1199972a8469,20,2025-10-26 15:13:22,2025-10-26 15:34:22,21,21.0,Very Late
Route_A,9a1de644-815e-46d1-bb8f-aa1837f8a88b,9,2025-10-23 08:58:35,2025-10-23 09:00:35,2,2.0,On Time
Route_C,a65ed389-b74d-4fb1-b2e7-06298fadc1a6,16,2025-11-17 12:57:46,2025-11-17 12:57:46,0,0.0,Early
Route_C,96da1dac-72ff-4d2a-b86e-cbe06b65a6a4,10,2025-11-04 14:10:32,2025-11-04 14:14:32,4,4.0,On Time
Route_B,c241330b-01a9-471f-9e8a-774bcf36d58b,16,2025-10-29 20:04:35,2025-10-29 20:35:35,31,31.0,Very Late
Route_E,47229389-571a-4876-ac30-7511b2b9437a,16,2025-10-29 15:12:24,2025-10-29 15:17:24,5,5.0,On Time
Route_A,562b0f79-c374-49ee-b50b-ea63371ecd7b,2,2025-10-27 01:08:36,2025-10-27 01:17:36,9,9.0,Late
Route_D,5be6128e-18c2-4797-a142-ea7d17be3111,13,2025-11-07 18:47:50,2025-11-07 18:49:50,2,2.0,On Time
Route_B,0b1f9163-ce9f-457f-83b7-a3a69a8dca03,5,2025-11-13 09:19:43,2025-11-13 09:43:43,24,24.0,Very Late
Route_A,ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,9,2025-11-09 11:05:04,2025-11-09 11:06:04,1,1.0,On Time
Route_D,d453dd32-4b0d-4b41-8d52-88f1142c3fe8,19,2025-11-21 02:41:15,2025-11-21 03:14:15,33,33.0,Very Late
Route_E,93cd59bf-5c94-4cf0-9c98-d2c1e2acf72f,20,2025-10-31 10:05:32,2025-10-31 10:06:32,1,1.0,On Time
Route_E,a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,13,2025-11-02 03:34:50,2025-11-02 03:36:50,2,2.0,On Time
Route_D,146d3f31-fc37-4a4c-8a15-544dc5e7ce8a,4,2025-11-02 09:16:51,2025-11-02 09:20:51,4,4.0,On Time
Route_D,47294739-614f-43d7-99db-3ad0ddd1dfb2,4,2025-11-13 02:19:16,2025-11-13 02:20:16,1,1.0,On Time
Route_E,29a3b2e9-5d65-4441-9588-42dea2bc372f,14,2025-11-09 01:21:07,2025-11-09 01:24:07,3,3.0,On Time
Route_C,4458a885-ab90-49a4-b5a2-40ae5af30553,9,2025-10-25 13:14:59,2025-10-25 13:14:59,0,0.0,Early
Route_A,88bd6407-2bcf-4e01-a28d-efe39bf00273,7,2025-11-02 23:17:07,2025-11-02 23:19:07,2,2.0,On Time
Route_C,451b4cf3-6123-4df7-b656-af7229d4beef,17,2025-11-18 02:57:12,2025-11-18 03:19:12,22,22.0,Very Late
Route_C,d7c524a5-5304-417f-af42-e12f3838b326,5,2025-10-24 19:13:56,2025-10-24 19:12:56,-1,-1.0,Early
Route_E,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,10,2025-11-06 09:35:21,2025-11-06 09:37:21,2,2.0,On Time
Route_A,3602f8ac-10f1-4c81-848a-aa9e66b2bc5b,9,2025-11-18 14:52:21,2025-11-18 14:52:21,0,0.0,Early
Route_A,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,11,2025-11-15 07:42:23,2025-11-15 07:42:23,0,0.0,Early
Route_A,a491f0b2-ea1f-4a65-a27a-984d654821d0,7,2025-11-13 08:39:40,2025-11-13 08:38:40,-1,-1.0,Early
Route_A,3f22faf8-23be-401d-83cf-2fde24933b83,7,2025-11-18 08:06:04,2025-11-18 08:17:04,11,11.0,Late
Route_A,95a76d79-bf3c-4c06-8343-08bc89fa6a68,10,2025-11-11 21:13:17,2025-11-11 21:14:17,1,1.0,On Time
Route_A,5cabcc97-663f-4c97-9562-69f0e5d7b875,20,2025-11-01 17:35:13,2025-11-01 17:35:13,0,0.0,Early
Route_B,827050a8-2369-4584-bf5e-9ff0ff50bde4,15,2025-11-15 01:02:51,2025-11-15 01:00:51,-2,-2.0,Early
Route_E,dc713d96-0c0f-4195-817a-f08a1745d6d8,8,2025-10-27 09:48:37,2025-10-27 09:51:37,3,3.0,On Time
Route_A,cac5b68c-28f4-4481-a0a0-4dc427209bdf,9,2025-11-11 13:54:43,2025-11-11 13:55:43,1,1.0,On Time
Route_A,61b1cd22-6280-4c45-9043-5a1098ae4334,3,2025-11-20 00:19:13,2025-11-20 00:31:13,12,12.0,Late
Route_B,405cacec-8774-49a9-b7d2-1e02ff01cf99,13,2025-11-17 22:36:53,2025-11-17 23:03:53,27,27.0,Very Late
Route_B,ae270da7-02f0-4b90-b143-262fdc5c0eed,6,2025-10-27 15:31:20,2025-10-27 16:01:20,30,30.0,Very Late
Route_D,c0398710-8976-4334-a281-7efdae849217,16,2025-11-04 00:56:01,2025-11-04 00:57:01,1,1.0,On Time
Route_E,1c8eaee9-5715-4d6f-a416-1293c4c2e2e3,3,2025-11-05 08:00:44,2025-11-05 08:05:44,5,5.0,On Time
Route_B,00d4af59-7427-4ca3-a87d-06ca6f4cc69a,17,2025-11-03 20:55:49,2025-11-03 20:57:49,2,2.0,On Time
Route_B,2dbc2134-c30f-446e-8026-695ff8cda88b,3,2025-11-15 17:33:07,2025-11-15 17:36:07,3,3.0,On Time
Route_C,a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,8,2025-11-05 13:46:24,2025-11-05 13:48:24,2,2.0,On Time
Route_E,9be578c7-81f6-41d4-a392-31a7d777a477,17,2025-10-31 17:48:29,2025-10-31 17:51:29,3,3.0,On Time
Route_E,295b4715-c333-4861-9fb8-d16c2720797d,5,2025-11-17 06:28:55,2025-11-17 06:59:55,31,31.0,Very Late
Route_B,87c5421e-ec24-43c5-8754-108ff4188f3f,20,2025-10-22 02:43:34,2025-10-22 02:41:34,-2,-2.0,Early
Route_D,04fc6d82-7d15-4385-92fb-e43b99546eb4,3,2025-10-27 12:23:43,2025-10-27 12:58:43,35,35.0,Very Late
Route_E,fc3e058b-e0f3-4ab0-9cec-4eb5edd96831,16,2025-11-06 00:20:23,2025-11-06 00:22:23,2,2.0,On Time
Route_C,e0c53cb8-3da9-42a9-8ed4-2f1a3d4cbf37,18,2025-11-18 15:04:43,2025-11-18 15:05:43,1,1.0,On Time
Route_A,bb5e4bcf-15ed-4269-9429-6c07f26b4776,2,2025-11-14 16:16:47,2025-11-14 16:19:47,3,3.0,On Time
Route_D,c2b6d2c5-fa5d-4100-91b7-e948d0e6e660,7,2025-11-16 22:42:27,2025-11-16 22:47:27,5,5.0,On Time
Route_C,a8e56e0c-20de-435d-a031-d750c40db9b4,13,2025-11-14 03:48:14,2025-11-14 03:51:14,3,3.0,On Time
Route_C,43dac043-2a45-42ab-8cbf-edb0f264accc,3,2025-11-16 16:50:40,2025-11-16 17:15:40,25,25.0,Very Late
Route_C,f6e07cc0-6c52-449f-9b49-bd26df57c59a,20,2025-11-01 08:49:22,2025-11-01 08:52:22,3,3.0,On Time
Route_C,badcc32a-c159-4f53-8a0f-4efbedcd465e,9,2025-10-31 20:25:04,2025-10-31 20:30:04,5,5.0,On Time
Route_B,fec21bbe-6624-4bfa-8fcc-a39ab683d2e6,9,2025-11-09 05:07:35,2025-11-09 05:09:35,2,2.0,On Time
Route_D,7394988f-847f-49b4-a64d-1bcb702753a1,13,2025-10-27 23:02:24,2025-10-27 23:11:24,9,9.0,Late
Route_D,568cc69b-1064-405c-b985-c3cf3f76be1d,20,2025-10-23 02:34:00,2025-10-23 02:37:00,3,3.0,On Time
Route_A,96a402f2-3ae8-4c93-8dcd-cd03969b6662,7,2025-11-01 18:37:54,2025-11-01 19:20:54,43,43.0,Very Late
Route_D,a18ff6b6-b535-406e-922c-9a5601d74256,2,2025-10-24 22:39:10,2025-10-24 22:37:10,-2,-2.0,Early
Route_D,080aadfb-e7c9-4b26-9141-25c63a9bedd4,12,2025-11-07 03:02:13,2025-11-07 03:01:13,-1,-1.0,Early
Route_D,474a493b-3ced-4f2d-839f-bc501223b513,4,2025-11-14 15:36:31,2025-11-14 15:39:31,3,3.0,On Time
Route_B,b92da22b-21df-406f-8a0b-3c3336d8393a,6,2025-11-18 19:22:24,2025-11-18 19:25:24,3,3.0,On Time
Route_B,c8dcd19f-3e35-4128-b900-f7f993829b43,13,2025-11-14 01:06:48,2025-11-14 01:06:48,0,0.0,Early
Route_D,1825bc54-30be-445f-a835-14f2ceb81f9d,16,2025-10-26 18:59:33,2025-10-26 19:04:33,5,5.0,On Time
Route_E,6c6fa611-5ab3-4edf-ae59-5ed3a8b317fa,10,2025-11-11 01:01:43,2025-11-11 00:59:43,-2,-2.0,Early
Route_D,0dde29a6-baa4-471a-9d24-67ac778eedb3,2,2025-10-26 20:43:30,2025-10-26 20:48:30,5,5.0,On Time
Route_D,56dc8907-ba6c-44ab-a712-303a0f844fef,13,2025-10-27 09:22:03,2025-10-27 09:26:03,4,4.0,On Time
Route_D,894a05e4-30b1-47ef-b10c-0c003fa7f104,16,2025-11-12 20:43:57,2025-11-12 20:42:57,-1,-1.0,Early
Route_E,474ebc19-2ef9-4276-ac00-6f6123e2fcb4,16,2025-11-13 13:03:38,2025-11-13 13:01:38,-2,-2.0,Early
Route_D,134c6c92-ec5b-427c-9fde-4fbf3ff350bf,7,2025-11-12 14:20:41,2025-11-12 14:36:41,16,16.0,Very Late
Route_A,8ce21ea3-db20-456e-9c81-5fe7ceda8bbb,5,2025-10-26 20:07:54,2025-10-26 20:07:54,0,0.0,Early
Route_A,8a63f881-ffd0-49d5-a6f2-f7b80cf35b58,19,2025-10-22 19:15:14,2025-10-22 19:14:14,-1,-1.0,Early
Route_D,c0e9ab30-ed26-42e9-97e0-11b7f8102383,9,2025-11-02 13:27:43,2025-11-02 13:37:43,10,10.0,Late
Route_B,7b3a4e3e-7c52-4a17-a80a-c07a2a935d62,15,2025-11-01 11:05:37,2025-11-01 11:43:37,38,38.0,Very Late
Route_A,0f02bad0-e706-4ef4-a6aa-9385dd59ba71,6,2025-10-30 01:52:34,2025-10-30 02:07:34,15,15.0,Late
Route_C,63f2ae24-fc3d-4348-808d-4127610461e3,13,2025-11-03 23:02:38,2025-11-03 23:06:38,4,4.0,On Time
Route_D,747b6dba-c8fe-4ccd-88b8-d9c6ed3049cf,3,2025-11-04 22:23:57,2025-11-04 22:28:57,5,5.0,On Time
Route_A,bb026576-f512-44c3-b253-d2186c4a37ea,14,2025-11-18 01:34:37,2025-11-18 01:33:37,-1,-1.0,Early
Route_D,27a0c3d7-7c96-4f79-b7e9-9acaa97065e1,11,2025-10-31 07:18:25,2025-10-31 07:36:25,18,18.0,Very Late
Route_E,0ef8c2d6-f7fd-4646-b7bb-3eec4bf50b52,1,2025-11-19 04:51:14,2025-11-19 05:34:14,43,43.0,Very Late
Route_B,bf7b539b-0f9a-4a4b-8acd-4e10bc594585,17,2025-11-06 07:26:09,2025-11-06 07:28:09,2,2.0,On Time
Route_D,7a0ecfea-958c-49ba-8cd6-20c20ea2622b,4,2025-11-15 11:55:23,2025-11-15 12:00:23,5,5.0,On Time
Route_B,284d82e5-87f7-41fb-9a4b-d9caeb5cf467,2,2025-10-24 20:19:46,2025-10-24 20:49:46,30,30.0,Very Late
Route_D,d9f195d0-1482-4f53-8201-0c62f5f59b22,14,2025-10-31 02:33:42,2025-10-31 02:32:42,-1,-1.0,Early
Route_D,acdabacc-1165-4210-9854-3881118a9d29,7,2025-11-02 12:05:32,2025-11-02 12:05:32,0,0.0,Early
Route_A,e3e9de99-f10c-418b-9eb0-e38a675dd5af,12,2025-11-18 17:46:47,2025-11-18 17:48:47,2,2.0,On Time
Route_B,0a2c827e-9832-4856-9434-0a033f07f814,18,2025-11-21 03:41:30,2025-11-21 03:51:30,10,10.0,Late
Route_B,956b8c0c-a849-4b92-ab52-52e314fcdd54,8,2025-11-18 12:35:49,2025-11-18 12:38:49,3,3.0,On Time
Route_C,42c18a62-ef48-48d5-90fd-9d3f85d51695,19,2025-11-01 00:02:21,2025-11-01 00:12:21,10,10.0,Late
Route_A,3d1a85dd-506e-4a9a-b758-588dab73295b,13,2025-11-03 23:31:24,2025-11-03 23:34:24,3,3.0,On Time
Route_C,a53f8a28-abf3-43fc-a181-3d25655238a6,18,2025-11-05 15:34:54,2025-11-05 16:02:54,28,28.0,Very Late
Route_E,c07a30f2-edd4-453b-90f0-fd0a750cab75,9,2025-10-25 14:34:43,2025-10-25 14:35:43,1,1.0,On Time
Route_B,ff9ab5c2-9f04-4aed-b552-332702627f73,5,2025-11-18 09:59:42,2025-11-18 10:03:42,4,4.0,On Time
Route_D,89a2688b-12c1-46e0-9998-5f15ff002d4d,1,2025-11-01 10:24:09,2025-11-01 10:24:09,0,0.0,Early
Route_C,eeea163e-21e8-4c68-83e4-2caf8181a8cc,10,2025-11-08 00:41:05,2025-11-08 00:51:05,10,10.0,Late
Route_C,3e896c64-e117-4ac3-919c-4ea3e1805081,10,2025-11-09 00:35:24,2025-11-09 00:40:24,5,5.0,On Time
Route_D,d5704f32-702c-4d20-a862-18b848f4ef12,20,2025-11-17 10:57:17,2025-11-17 10:56:17,-1,-1.0,Early
Route_C,fbddcf7c-9c96-49ec-8d71-c366b41b3143,3,2025-11-16 18:19:14,2025-11-16 18:23:14,4,4.0,On Time
Route_B,8dfa6a56-d12d-4c9a-aaf9-15310200b1f0,5,2025-11-05 14:51:41,2025-11-05 14:54:41,3,3.0,On Time
Route_C,f05db76e-1a84-451a-a9d3-d7c7ee87905e,7,2025-10-28 14:31:13,2025-10-28 14:32:13,1,1.0,On Time
Route_B,1b66b5a9-e3c4-4657-9d8c-bbac43b409ef,16,2025-11-17 22:36:44,2025-11-17 22:41:44,5,5.0,On Time
Route_A,9ad620ab-4821-4ddb-85b8-9cd927cb6f2a,12,2025-11-01 07:27:40,2025-11-01 07:27:40,0,0.0,Early
Route_B,afffcfd2-341e-440b-97c7-00aab7b56ea7,4,2025-11-03 21:37:24,2025-11-03 21:35:24,-2,-2.0,Early
Route_D,e7c421c7-4049-4b71-bd10-6c6081627cf1,3,2025-10-24 13:14:42,2025-10-24 13:17:42,3,3.0,On Time
Route_C,d450281c-6c6f-4633-a260-772317a0df49,12,2025-11-04 12:24:56,2025-11-04 12:24:56,0,0.0,Early
Route_B,c56811cd-5563-4616-80e8-5ece0b49452d,20,2025-10-28 10:28:33,2025-10-28 10:32:33,4,4.0,On Time
Route_E,295d6fbf-430f-401d-bad4-09e2a319dcb4,2,2025-11-12 12:50:08,2025-11-12 12:49:08,-1,-1.0,Early
Route_C,8f9797b0-6d7c-43c9-b4a6-9f3c8d3aed99,9,2025-10-22 13:19:33,2025-10-22 13:20:33,1,1.0,On Time
Route_E,e21342b0-f1ee-4ba3-9343-2e611ca3c448,4,2025-10-29 07:43:14,2025-10-29 08:22:14,39,39.0,Very Late
Route_E,5e84f058-d5a8-44eb-8939-23de8babce3b,15,2025-11-19 08:43:58,2025-11-19 08:45:58,2,2.0,On Time
Route_D,20a04502-6e06-4097-a5e9-79778d7248e2,5,2025-10-24 02:47:38,2025-10-24 02:52:38,5,5.0,On Time
Route_C,eededb07-e623-4689-9d59-cd2a4eea04e7,7,2025-10-24 00:32:27,2025-10-24 00:54:27,22,22.0,Very Late
