vehicle_id,fuel_type,timestamp,distance_km,consumption_rate,total_consumption,unit
BUS_7749,Diesel,2025-11-12 16:43:42,27.36,0.33,8.9,L
BUS_2331,Diesel,2025-10-28 01:50:58,6.48,0.3,1.95,L
BUS_7811,Hybrid,2025-11-08 05:19:43,42.31,0.27,11.32,L_eq
BUS_2655,Hybrid,2025-11-09 08:34:13,6.6,0.23,1.51,L_eq
BUS_7481,CNG,2025-11-20 06:38:16,28.01,0.35,9.74,L_eq
BUS_1401,CNG,2025-11-08 11:07:13,33.58,0.27,9.1,L_eq
BUS_6642,Hybrid,2025-11-09 20:39:27,20.76,0.47,9.67,L_eq
BUS_1542,Hybrid,2025-10-30 16:29:50,43.87,0.21,9.2,L_eq
BUS_2469,Diesel,2025-10-22 11:52:59,39.18,0.44,17.07,L
BUS_7382,Hybrid,2025-10-28 03:25:13,44.0,0.35,15.59,L_eq
BUS_8877,Diesel,2025-11-13 13:08:09,43.54,0.34,14.6,L
BUS_1585,CNG,2025-11-09 01:42:04,38.37,0.35,13.24,L_eq
BUS_2170,Diesel,2025-10-31 10:54:38,5.49,0.3,1.65,L
BUS_6484,Electric,2025-11-12 16:01:49,36.11,1.31,47.25,kWh
BUS_3869,Diesel,2025-10-22 12:58:08,26.26,0.31,8.23,L
BUS_5358,Electric,2025-11-01 20:09:01,46.57,0.91,42.47,kWh
BUS_7428,Diesel,2025-10-23 01:06:26,39.76,0.5,19.73,L
BUS_3544,Diesel,2025-11-04 17:36:19,39.0,0.46,17.97,L
BUS_7383,Hybrid,2025-11-08 10:57:06,11.83,0.33,3.91,L_eq
BUS_7183,CNG,2025-10-31 09:11:14,24.63,0.2,4.94,L_eq
BUS_4374,CNG,2025-10-26 10:52:42,35.52,0.35,12.36,L_eq
BUS_8705,Electric,2025-11-20 20:46:21,30.54,1.27,38.75,kWh
BUS_9174,Hybrid,2025-11-21 10:30:48,12.66,0.41,5.19,L_eq
BUS_8511,Electric,2025-11-05 19:17:18,37.04,1.08,39.97,kWh
BUS_1109,CNG,2025-11-01 19:42:56,15.12,0.22,3.38,L_eq
BUS_3022,Electric,2025-11-02 10:59:25,25.03,1.08,27.03,kWh
BUS_4922,Electric,2025-11-15 01:23:19,17.25,1.0,17.26,kWh
BUS_4384,Diesel,2025-11-08 16:59:04,28.47,0.54,15.49,L
BUS_9117,Hybrid,2025-10-23 20:55:49,28.98,0.31,8.91,L_eq
BUS_3597,Electric,2025-11-04 17:09:53,26.03,1.0,26.0,kWh
BUS_7551,CNG,2025-11-15 00:15:27,45.04,0.4,17.86,L_eq
BUS_1403,Electric,2025-11-20 12:07:57,36.35,1.39,50.67,kWh
BUS_2765,Electric,2025-11-01 05:39:47,5.07,0.81,4.11,kWh
BUS_3162,Electric,2025-10-22 10:22:24,31.37,1.28,40.04,kWh
BUS_5939,Diesel,2025-10-31 14:31:03,19.62,0.36,7.1,L
BUS_6473,Electric,2025-11-10 07:32:01,24.6,1.42,34.87,kWh
BUS_9331,Diesel,2025-10-27 11:19:19,22.86,0.59,13.6,L
BUS_2275,Electric,2025-11-04 13:11:35,7.8,0.83,6.48,kWh
BUS_4542,Hybrid,2025-11-18 17:06:43,41.29,0.22,9.07,L_eq
BUS_8708,Hybrid,2025-11-15 08:58:53,31.45,0.47,14.92,L_eq
BUS_4302,Electric,2025-11-15 01:37:29,49.49,1.02,50.59,kWh
BUS_9785,CNG,2025-10-30 08:40:48,18.44,0.29,5.44,L_eq
BUS_4627,Electric,2025-11-17 20:56:10,42.49,1.32,56.1,kWh
BUS_3712,Diesel,2025-10-31 11:49:07,9.48,0.36,3.41,L
BUS_2449,Diesel,2025-11-18 13:09:23,45.58,0.57,25.76,L
BUS_2669,Hybrid,2025-11-20 08:34:26,20.81,0.21,4.33,L_eq
BUS_7936,Hybrid,2025-11-18 12:29:45,32.43,0.44,14.34,L_eq
BUS_4174,CNG,2025-10-30 14:33:57,17.34,0.5,8.6,L_eq
BUS_5936,Diesel,2025-10-25 06:12:38,12.18,0.45,5.49,L
BUS_6747,Hybrid,2025-11-19 15:19:17,24.0,0.48,11.45,L_eq
BUS_1663,Electric,2025-10-28 07:28:40,34.5,1.03,35.67,kWh
BUS_9275,CNG,2025-10-25 05:50:52,37.39,0.45,16.97,L_eq
BUS_6704,Diesel,2025-10-28 06:31:39,14.72,0.33,4.9,L
BUS_9031,Electric,2025-11-03 16:32:39,37.34,1.01,37.66,kWh
BUS_5891,Electric,2025-11-18 18:02:43,36.95,0.89,32.95,kWh
BUS_1581,Electric,2025-11-02 03:39:31,31.39,1.29,40.43,kWh
BUS_6289,CNG,2025-11-16 11:29:32,32.42,0.49,15.78,L_eq
BUS_6744,CNG,2025-11-04 09:40:30,47.99,0.38,18.05,L_eq
BUS_1051,Diesel,2025-10-31 09:34:59,21.6,0.45,9.68,L
BUS_3988,Hybrid,2025-10-23 04:59:37,27.31,0.37,10.05,L_eq
BUS_7376,Electric,2025-11-16 22:58:54,29.64,1.22,36.27,kWh
BUS_3021,Hybrid,2025-11-20 21:57:13,49.1,0.31,15.32,L_eq
BUS_8803,Electric,2025-11-03 08:44:03,47.61,1.17,55.65,kWh
BUS_9300,Diesel,2025-11-18 06:38:32,12.85,0.31,4.03,L
BUS_1174,Hybrid,2025-11-13 02:55:20,23.83,0.43,10.3,L_eq
BUS_1038,Diesel,2025-10-22 04:20:15,20.82,0.3,6.27,L
BUS_9447,CNG,2025-11-11 19:41:03,5.29,0.48,2.52,L_eq
BUS_9819,Electric,2025-10-24 14:29:04,26.54,1.39,36.96,kWh
BUS_3173,CNG,2025-11-06 18:22:53,38.22,0.32,12.04,L_eq
BUS_2112,Diesel,2025-11-12 02:00:54,18.23,0.51,9.28,L
BUS_3394,CNG,2025-11-10 20:06:17,46.36,0.34,15.94,L_eq
BUS_2340,Hybrid,2025-11-04 09:20:04,11.9,0.38,4.47,L_eq
BUS_3221,Electric,2025-10-27 23:52:17,20.25,0.8,16.22,kWh
BUS_4860,Hybrid,2025-11-16 05:55:03,31.91,0.25,7.98,L_eq
BUS_1494,Diesel,2025-11-13 17:40:22,47.76,0.35,16.58,L
BUS_3163,Hybrid,2025-11-15 03:26:47,16.61,0.27,4.49,L_eq
BUS_2234,Diesel,2025-11-08 15:12:18,13.04,0.3,3.94,L
BUS_1633,CNG,2025-11-16 04:42:28,35.91,0.44,15.87,L_eq
BUS_3065,Electric,2025-10-24 04:42:00,43.72,1.1,48.2,kWh
BUS_7519,Electric,2025-11-01 23:40:39,41.06,1.37,56.13,kWh
BUS_5993,Electric,2025-10-24 08:46:40,34.09,0.96,32.67,kWh
BUS_2526,Electric,2025-11-04 13:52:31,11.43,1.47,16.84,kWh
BUS_7235,Diesel,2025-11-11 11:28:04,17.02,0.52,8.8,L
BUS_3004,Diesel,2025-11-16 22:21:46,27.63,0.44,12.16,L
BUS_6835,Electric,2025-11-12 21:01:17,34.18,1.33,45.42,kWh
BUS_7901,CNG,2025-11-06 10:30:30,34.65,0.22,7.72,L_eq
BUS_7132,Electric,2025-10-22 08:04:15,10.13,0.82,8.33,kWh
BUS_5446,Electric,2025-11-10 02:36:31,21.59,1.06,22.84,kWh
BUS_4041,Electric,2025-10-31 12:47:41,17.22,1.41,24.31,kWh
BUS_6229,Electric,2025-11-07 08:01:13,12.5,0.83,10.42,kWh
BUS_5765,Hybrid,2025-10-26 01:22:27,6.89,0.43,2.95,L_eq
